1000076,98 5 0
1000082,27 61 42
1000268,73 2 76
1000348,56 57 41
1000450,46 40 86
1000541,51 64 80
1000679,35 83 85
1000780,58 65 5
1000842,2 80 36
1000865,26 25 80
1000882,51 64 82
1000941,80 2 83
1001036,24 41 5
1001140,86 5 98
1001261,34 1 44
1001376,24 5 41
1001550,18 20 55
1001553,6 68 0
1001574,81 45 39
1001698,50 2 41
1001703,3 57 52
1001761,66 94 31
1001862,27 47 50
1001890,1 31 35
1001943,33 2 88
1001989,42 36 12
1002004,56 57 41
1002051,34 1 12
1002128,57 56 83
1002205,72 4 33
1002226,10 2 34
1002235,89 88 3
1002250,66 1 31
1002259,50 65 58
1002264,52 50 83
1002336,85 42 35
1002415,19 42 83
1002423,56 57 88
1002429,23 2 16
1002520,42 12 40
1002564,30 80 51
1002599,2 46 60
1002617,35 83 67
1002743,31 1 66
1002751,44 49 90
1002760,99 54 53
1002825,9 80 95
1003033,75 12 68
1003040,34 65 58
1003176,1 31 100
1003200,94 95 26
1003534,12 42 36
1003675,39 78 17
1003706,88 89 67
1003796,2 0 67
1003800,66 1 31
1003945,49 97 65
1004039,42 65 12
1004060,38 63 94
1004083,53 54 89
1004243,93 41 54
1004258,64 51 82
1004288,46 42 2
1004325,94 97 78
1004378,93 41 80
1004403,63 1 47
1004406,3 84 11
1004409,83 35 2
1004497,80 51 64
1004501,86 13 87
1004585,94 38 88
1004663,18 12 73
1004703,94 80 95
1004901,40 2 46
1005030,50 12 42
1005151,1 102 34
1005202,65 49 12
1005222,95 80 82
1005241,6 98 68
1005275,93 41 39
1005429,54 53 90
1005451,49 97 68
1005521,31 1 44
1005525,102 13 41
1005554,64 51 82
1005564,66 1 31
1005582,65 58 89
1005594,1 44 31
1005599,89 54 41
1005725,13 83 99
1005751,13 87 42
1005818,21 41 93
1006061,49 30 99
1006062,94 27 41
1006204,86 24 5
1006225,48 40 50
1006287,42 12 62
1006571,41 67 24
1006576,43 12 10
1006609,40 46 42
1006670,100 99 80
1006697,58 65 88
1006708,82 95 80
1006717,88 14 91
1006749,25 26 44
1006780,11 60 68
1006845,2 33 0
1006888,95 91 94
1006991,99 64 82
1007016,12 2 5
1007054,30 47 101
1007078,50 94 55
1007218,51 64 82
1007275,49 97 55
1007353,79 42 83
1007370,13 99 87
1007468,22 39 5
1007510,53 99 54
1007525,15 43 2
1007645,26 25 80
1007652,59 60 65
1007674,38 57 3
1007723,40 12 42
1007728,93 41 88
1007771,46 43 30
1007811,1 31 42
1007813,2 0 59
1007845,45 1 20
1007857,88 89 46
1007872,42 12 35
1008061,45 39 1
1008122,65 58 59
1008328,91 54 65
1008499,80 88 2
1008688,51 64 82
1008721,3 97 41
1008748,65 58 67
1008787,25 69 26
1008792,23 2 65
1008815,13 43 34
1009016,62 92 66
1009033,86 24 5
1009085,78 100 39
1009194,24 41 89
1009322,24 41 5
1009374,2 97 80
1009385,18 55 20
1009434,60 2 12
1009468,82 95 80
1009481,102 90 13
1009500,4 40 33
1009726,97 0 98
1009749,49 55 30
1009762,75 79 71
1009786,71 4 33
1009855,77 76 42
1009857,65 12 58
1009951,12 42 51
1010147,80 2 5
1010228,93 41 83
1010277,2 0 79
1010290,53 54 89
1010333,63 19 15
1010346,35 83 42
1010415,20 21 16
1010515,23 2 65
1010517,38 52 57
1010557,50 65 58
1010597,74 65 34
1010639,41 24 5
1010643,93 41 83
1010756,11 9 43
1010789,76 77 74
1010827,15 88 47
1010934,26 25 60
1010959,41 24 5
1010970,86 12 97
1011060,86 37 46
1011140,49 69 30
1011144,1 31 78
1011244,71 33 4
1011294,57 56 96
1011399,83 35 88
1011441,102 30 4
1011519,97 0 67
1011552,37 80 41
1011635,86 24 98
1011679,58 65 41
1011686,51 64 97
1011753,10 78 41
1011761,83 35 2
1011798,42 36 12
1011824,83 35 93
1011877,42 12 62
1011976,55 78 5
1012099,12 36 87
1012259,83 35 2
1012358,44 1 31
1012450,63 1 47
1012513,42 36 40
1012616,4 76 71
1012654,18 19 17
1012685,9 75 27
1012809,36 42 65
1012841,58 65 88
1012871,79 12 75
1012965,22 48 16
1012992,75 71 39
1013065,83 67 88
1013180,49 99 24
1013196,53 54 40
1013468,83 35 80
1013480,5 41 24
1013934,79 75 41
1013950,83 35 89
1014023,53 54 64
1014058,37 74 24
1014122,86 24 5
1014194,32 24 5
1014201,29 30 43
1014609,10 40 43
1014627,20 21 19
1014671,36 42 12
1015119,25 18 26
1015247,55 12 22
1015382,49 30 99
1015409,86 98 12
1015417,52 80 96
1015527,97 65 2
1015617,36 9 42
1015702,97 74 24
1015753,17 21 12
1015807,65 58 59
